Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number
"ECHO Community Health Care, Inc. Mulberry Street Clinic",ECHO COMMUNITY HEALTH CARE,316 CHANDLER AVE,EVANSVILLE,IN,47713-1147,812-436-4501
ECHO John Street Woodson Homeless Health Clinic,ECHO COMMUNITY HEALTH CARE,315 Mulberry St,Evansville,IN,47713,812-421-7489
ECHO Division Street Family Clinic,ECHO COMMUNITY HEALTH CARE,401 John St,Evansville,IN,47713-2733,812-436-0224
East Jackson Women's Health Center,ECHO COMMUNITY HEALTH CARE,25 West Division Street,Evansville,IN,47710,812-436-4501
LIFESPAN Health,CHRIST COMMUNITY HEALTH SERVICES INC,1104 Whitehall,Jackson,TN,38301,731-213-6899
KentuckyCare - 112,HARDIN COUNTY REGIONAL HEALTH CENTER,150 E End Dr,Savannah,TN,38372-1712,731-925-2300
Lifespan Enoch Blvd,ARCARE,120 N 4TH ST,BARLOW,KY,42024-9579,870-347-2534
East Jackson Health Center,HARDIN COUNTY REGIONAL HEALTH CENTER,175 Enoch Blvd,Savannah,TN,38372-2240,731-925-2300
PUTNAM COUNTY HEALTH DEPARTMENT,CHRIST COMMUNITY HEALTH SERVICES INC,655 Lexington Ave,Jackson,TN,38301-5075,731-540-0330
Obion County Medical Clinic,TENNESSEE DEPARTMENT OF HEALTH,701 County Services Drive,Cookeville,TN,38501,931-528-2531
"HARDIN COUNTY REGIONAL HEALTH CENTER, INC. DBA LIFESPAN HEALTH","Citizens of Lake County for Health Care, Inc.",321 W Harper St Bldg,Troy,TN,38260-5653,731-536-0371 x73125
WARREN COUNTY HEALTH DEPARTMENT,HARDIN COUNTY REGIONAL HEALTH CENTER,765 FLORENCE RD.,SAVANNAH,TN,38372-3451,731-925-2300
West Hardin Middle Healthy Kids Clinic,TENNESSEE DEPARTMENT OF HEALTH,1401 Sparta St,Mc Minnville,TN,37110-1301,931-473-8468
Lakewood Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",10471 Leitchfield Rd,Cecilia,KY,42724-9536,270-862-3924
Creekside Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",265 Learning Place Ln,Cecilia,KY,42724-9563,270-862-4516
Henderson Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",151 Horseshoe Bend Rd,Sonora,KY,42776-9329,270-369-8460
UCPCP Mobile Unit #1,HARDEMAN COUNTY COMMUNITY HEALTH CENTER,1132 Industrial Drive,Henderson,TN,38340,731-983-3175
A Plus Family HealthCare-Sonora,TENNESSEE DEPARTMENT OF HEALTH,1100 England Dr,Cookeville,TN,38501-0924,931-528-7531
Lifespan Adamsville,"A+ FAMILY HEALTHCARE, LLC",12080 S Dixie Hwy,Sonora,KY,42776-9739,270-975-4050
VIENNA MEDICAL CLINIC,HARDIN COUNTY REGIONAL HEALTH CENTER,726 E Main St,Adamsville,TN,38310-2458,731-925-2300
HARRISBURG COMMUNITY HTLH CENTER,RURAL HEALTH INC,803 N    1st St,Vienna,IL,62995-1544,618-658-2811
East Hardin Middle Healthy Kids Clinic,COMMUNITY HEALTH & EMERGENCY SERVICES INC,205 N MAIN ST,HARRISBURG,IL,62946-1272,618-253-8450
Carrier Mills Community Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",129 College St,Glendale,KY,42740-9798,270-369-7370
Eldorado Rural Health Clinic,Christopher Greater Area Rural Health Planning Corporation,7211 US 45 S,Carrier Mills,IL,62917-1305,833-209-0498
Cecilia Valley Healthy Kids Clinic,Christopher Greater Area Rural Health Planning Corporation,1401 US Highway 45 N,Eldorado,IL,62930-3770,618-273-2951
CUMBERLAND FAMILY MEDICAL CENTER,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",931 E Main St,Cecilia,KY,42724-9624,270-862-3287
Cumberland County Elementary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",360 KEEN STREET,BURKESVILLE,KY,42717,270-864-2889
Cairo Diagnostic Center Site,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",150 Glasgow Rd,Burkesville,KY,42717-9695,270-864-4390
Cumberland County High Healthy Kids Clinic,COMMUNITY HEALTH & EMERGENCY SERVICES INC,13289 Kessler Rd,Cairo,IL,62914-3101,618-734-1500
Cumberland County Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",912 N Main St,Burkesville,KY,42717-8955,270-864-3451
CHESI WOW Van,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",908 N Main St,Burkesville,KY,42717-8955,270-864-5818
CAIRO MEGA CLINIC,COMMUNITY HEALTH & EMERGENCY SERVICES INC,13245 Kessler Rd,Cairo,IL,62914-3101,618-734-4400
OVERTON COUNTY HEALTH DEPARTMENT,COMMUNITY HEALTH & EMERGENCY SERVICES INC,13245 Kessler Rd,Cairo,IL,62914-3101,618-734-4400
WHITE COUNTY HEALTH DEPARTMENT,TENNESSEE DEPARTMENT OF HEALTH,5880 Bradford Hicks Dr,Livingston,TN,38570-2236,931-823-6260
Central Hardin High Healthy Kids Clinic,TENNESSEE DEPARTMENT OF HEALTH,135 Walker St,Sparta,TN,38583-1725,931-836-2201
Abraham Lincoln Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",3040 Leitchfield Rd,Cecilia,KY,42724-9699,270-737-6800
GC Burkhead Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2101 Lincoln Farm Rd,Hodgenville,KY,42748-9704,270-358-4142
Rineyville Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1323 Saint John Rd,Elizabethtown,KY,42701-8745,270-769-5983
Larue County High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",275 Rineyville School Rd,Rineyville,KY,40162-9763,270-737-7371 x27056
College View Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",925 S Lincoln Blvd,Hodgenville,KY,42748-1701,270-358-2210
Green Co. Intermediate Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",521 Charlemagne Blvd,Elizabethtown,KY,42701-3107,270-234-5732
Larue County Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",401 E Hodgenville Ave,Greensburg,KY,42743-1343,270-932-6613
Green County Primary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",911 S Lincoln Blvd,Hodgenville,KY,42748-1701,270-358-3196
Green County Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",100 Kidz Korner,Greensburg,KY,42743-1433,270-932-6619
Green County High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",106 Brummal Ave,Greensburg,KY,42743-1045,270-932-6615
Hodgenville Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",302 Brummal Ave,Greensburg,KY,42743-1004,270-932-6610
Kids Crew Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",33 Eagle Ln,Hodgenville,KY,42748-1737,270-358-3506
Hardin Early College and Career Center Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",208 College St,Hodgenville,KY,42748-1404,270-358-8383
Greensburg Family Medical,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",200 University Dr,Elizabethtown,KY,42701-3117,270-769-7930
Helmwood Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",462 Commerce Dr,Greensburg,KY,42743,270-932-2424
Valley View Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",307 Cardinal Dr,Elizabethtown,KY,42701-2713,270-769-1328
Flaherty Elementary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",701 Hawkins Dr,Elizabethtown,KY,42701-1041,270-769-2359
Flaherty Primary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2615 Flaherty Rd,Ekron,KY,40117-8805,270-422-7565
Adams School,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2635 Flaherty Rd,Ekron,KY,40117-8805,270-422-7575
Sunrise Glen Dale Center Healthy Kids Clinic,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,15470 Lake of Egypt Rd.  RM Conferenc,Creal Springs,IL,62922-3731,618-956-9690
Morningside Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1030 Commerce Dr,Elizabethtown,KY,42701-1281,844-435-0900
TK Stone Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",313 Morningside Dr,Elizabethtown,KY,42701-1739,270-769-3359
PULASKI CLINIC,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",323 Morningside Dr,Elizabethtown,KY,42701-1739,270-769-6343
Panther Academy Healthy Kids Clinic,COMMUNITY HEALTH & EMERGENCY SERVICES INC,100 MARKET STREETPO BOX 89,PULASKI,IL,62976-2529,618-342-6767
Elizabethtown High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",634 N Mulberry St,Elizabethtown,KY,42701-1939,270-765-3007
James T. Alton Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",620 N Mulberry St,Elizabethtown,KY,42701-1939,270-769-3381
Toney Family Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",100 Country Club Rd,Vine Grove,KY,40175-1169,270-877-2135
Dale Community Medical Services,CENTRAL NORTH ALABAMA HEALTH SERVICES INC,8208 Highway 53,Toney,AL,35773-8582,256-851-8804
Vine Grove Healthy Kids Clinic,LIFESPRING INC,110 S Main St,Dale,IN,47523-5204,812-280-2080
John Hardin High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",309 1st St,Vine Grove,KY,40175-1178,270-877-5410
Bluegrass Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",384 W A Jenkins Rd,Elizabethtown,KY,42701-8496,270-769-8906
East Prairie Dental Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",170 W A Jenkins Rd,Elizabethtown,KY,42701-8451,502-765-2658
Goreville Medical Clinic,SOUTHEAST MISSOURI HEALTH NETWORK,111 Prairie Dr,East Prairie,MO,63845-1114,573-649-9311
Ekron Healthy Kids Clinic,RURAL HEALTH INC,211 N Broadway,Goreville,IL,62939-2323,618-995-1002
New Highland Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2500 Haysville Rd,Ekron,KY,40117-8504,270-422-7570
A Plus Family HealthCare-Elizabethtown,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",110 W A Jenkins Rd,Elizabethtown,KY,42701-8451,270-737-6612
Payneville Elementary Healthy Kids Clinic,"A+ FAMILY HEALTHCARE, LLC","3046 Dolphin Dr, Ste 100",Elizabethtown,KY,42701-7182,270-975-4050
VAN BUREN COUNTY HEALTH DEPT,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",520 Rhodelia Rd,Payneville,KY,40157-7538,270-422-7550
First Choice Immediate Care Center,TENNESSEE DEPARTMENT OF HEALTH,907 Old Mcminnville St,Spencer,TN,38585-3200,931-946-2438
Heartland Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",197 Will Walker Rd,Columbia,KY,42728-7436,270-858-6655
Promise Community Health Center-Elizabethtown,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2300 Nelson Dr,Elizabethtown,KY,42701-5945,270-769-8930
"Family Health Care Clinic, Inc. --Rogersville","CUMBERLAND FAMILY MEDICAL CENTER, INC.",2608 Ring Rd Ste B107,Elizabethtown,KY,42701-7945,270-506-3741
Woodland Healthy Kids Clinic,"Family Health Care Clinic, Inc.",16410 U.S. Highway 72,Rogersville,AL,35652-8117,256-247-3154
Lifespan Selmer,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",6000 S Woodland Dr,Radcliff,KY,40160-8761,270-352-5828
North Middle Healthy Kids Clinic,HARDIN COUNTY REGIONAL HEALTH CENTER,181 S Y Sq,Selmer,TN,38375-1739,731-925-2300 x52300
Adair County Primary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",100 Trojan Way,Radcliff,KY,40160-3405,270-352-3340
Adair County High Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",158 Col Casey Dr,Columbia,KY,42728-5319,270-384-3367
Adair County Elementary Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",526 Indian Dr,Columbia,KY,42728-1879,270-384-2751
CHHS Bruin Academy Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",870 Indian Dr,Columbia,KY,42728-1813,270-384-0077
Meadow View Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",3154 Bardstown Rd  RM 105,Elizabethtown,KY,42701-7513,270-737-6800
North Park Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1255 W Vine St,Radcliff,KY,40160-1941,270-352-0500
Carmi Community Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1080 S Logsdon Pkwy,Radcliff,KY,40160-1818,270-351-4464
North Hardin High Healthy Kids Clinic,COMMUNITY HEALTH & EMERGENCY SERVICES INC,1400 W Main St,Carmi,IL,62821-1387,618-382-4181
CRHPC-Carmi Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",801 S Logsdon Pkwy,Radcliff,KY,40160-1931,270-351-3167
Adair County Middle Healthy Kids Clinic,Christopher Greater Area Rural Health Planning Corporation,103 Commerce Street,Carmi,IL,62821,618-384-5686
Lincoln Trail Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",322 General John Adair Dr,Columbia,KY,42728-1878,270-384-5308
Radcliff Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",3970 Bardstown Rd,Elizabethtown,KY,42701-9787,270-737-7227
Tamms Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1145 S Dixie Blvd,Radcliff,KY,40160-1104,270-352-3350
My Lyfe- Lindsey Wilson College,COMMUNITY HEALTH & EMERGENCY SERVICES INC,290 Railroad Street,Tamms,IL,62988,618-747-2391
Adair Family Medical Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",210 Lindsey Wilson St,Columbia,KY,42728-1223,844-435-0900
Stuart Pepper Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",937 Campbellsville Rd,Columbia,KY,42728-2265,270-384-2777
Athens Family Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1085 Old Ekron Rd,Brandenburg,KY,40108-1719,270-422-7530
Lake County Primary Care Clinic,CENTRAL NORTH ALABAMA HEALTH SERVICES INC,1005 W Market St Ste B,Athens,AL,35611-2454,256-230-3061
David T. Wilson Healthy Kids Clinic,"Citizens of Lake County for Health Care, Inc.",710 Carl Perkins Pkwy,Tiptonville,TN,38079-1678,731-253-6690
Barry Hahn Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1075 Old Ekron Rd,Brandenburg,KY,40108-1719,270-422-7540
Grundy County Primary Care Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",750 Broadway St,Brandenburg,KY,40108-1709,270-422-7545
Meade County High Healthy Kids Clinic,OCOEE REGIONAL HEALTH CORP,10120 SR 56,Coalmont,TN,37313-2505,931-779-4002
"Tulip Tree Health Services of Gibson County, Inc. d/b/a Tulip Tree Family Health Care","CUMBERLAND FAMILY MEDICAL CENTER, INC.",938 Old State Rd,Brandenburg,KY,40108-1122,270-422-7515
"Family Health Care Clinic, Inc. --Florence","Tulip Tree Health Services of Gibson County, Inc.",123 N Mccreary St,Fort Branch,IN,47648-1313,812-753-1039
PICKETT COUNTY HEALTH DEPARTMENT,"Family Health Care Clinic, Inc.","216 S. Marengo Street, Suite A",Florence,AL,35630-0000,800-508-7481
Clinton Family Medical Center,TENNESSEE DEPARTMENT OF HEALTH,1013 Woodlawn Dr,Byrdstown,TN,38549-2317,931-864-3178
Albany Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",606 Burkesville Road,Albany,KY,42602-1612,606-387-4251
Albany Family Medical Center - Downtown,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",819 3rd St,Albany,KY,42602-1635,606-387-5828
Clinton County Middle Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",106 N Cross St,Albany,KY,42602-1416,270-858-6655
WILLLIAM B. ACREE CLINIC,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",169 Middle School Road,Albany,KY,42602,606-387-5569
Washington Elementary School,"Citizens of Lake County for Health Care, Inc.",130 N Main St,Ridgely,TN,38080-1317,731-264-5518
Jefferson Elementary School,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,420 E. Main St.  Stem Lab,Marion,IL,62959,618-519-9200
Marion Wellness,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,700 E. Boulevard St Rm C23,Marion,IL,62959-3306,618-519-9200
Taylor County High Healthy Kids Clinic,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,1700 Wildcat Dr Ste A,Marion,IL,62959-1513,618-969-8228 x000
Clinton Early Childhood Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2705 Hodgenville Rd,Campbellsville,KY,42718-9493,270-465-4431
New Market Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",204 King Dr,Albany,KY,42602-9630,606-387-4283
Clinton County High Healthy Kids Clinic,CENTRAL NORTH ALABAMA HEALTH SERVICES INC,110 CLINIC ST,NEW MARKET,AL,35761-8507,256-379-2101
Albany Family Medical Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",65 High School Dr,Albany,KY,42602-8986,606-387-5569
Longfellow Elementary School,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",127 Foothills Ave,Albany,KY,42602-1037,270-858-6655
Lincoln Elementary School,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,1400 W. Hendrickson St. Tech.  RM,Marion,IL,62959,618-519-9200
New Madrid Medical Center,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,400 Morningside Dr.  RM A12,Marion,IL,62959,618-519-9200
Marion Jr. High School,SOUTHEAST MISSOURI HEALTH NETWORK,421 Semo Dr,New Madrid,MO,63869-1733,573-748-2592
Taylor Family Medical Center,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,1609 W. Main St.  Conf. Rm.,Marion,IL,62959,618-519-9200
One Cross Health,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",101 Winston Way  STE C &amp; D,Campbellsville,KY,42718,270-858-6655
Taylor County Middle Healthy Kids Clinic,ONE CROSS COMMUNITY INC,106 Winston Way,Campbellsville,KY,42718,270-789-0034
Taylor County Primary Healthy Kids Clinic,SOUTHEAST MISSOURI HEALTH NETWORK,655 US Highway 61,New Madrid,MO,63869-1101,573-313-2500
DONGOLA MEDICAL CLINIC,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",300 Ingram Ave,Campbellsville,KY,42718-1625,270-465-2877
Taylor County Intermediate Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",106 Ingram Ave,Campbellsville,KY,42718-1621,270-465-0449
"Familly Health Care Clinic, Inc.--Muscle Shoals",RURAL HEALTH INC,318 N. US HWY 51,DONGOLA,IL,62926-0000,618-827-3545
NMCC School Based Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1207 E Broadway St,Campbellsville,KY,42718-1578,270-465-5691
ANNA MEDICAl CLINIC,"Family Health Care Clinic, Inc.","102 Physicians Drive, Suite B",Muscle Shoals,AL,35662-2504,256-389-9797
"Shawnee Health, Marion OB/GYN",SOUTHEAST MISSOURI HEALTH NETWORK,310 US Highway 61,New Madrid,MO,63869-9753,573-688-6031
"Shawnee Health Care, Marion",RURAL HEALTH INC,513 N Main St,Anna,IL,62906-1668,618-833-4471
"Shawnee Health Care, Marion Dental",SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,1506 Sioux Dr,Marion,IL,62959-5209,618-519-9200
Johnston City Community Health Center,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,3111 Williamson County Pkwy,Marion,IL,62959-5235,618-519-9200
"Family Health Care Clinic, Inc. Mobile unit2",SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,3115 Williamson County Parkway,Marion,IL,62959-0000,618-519-9200
"Family Health Care Clinic, Inc. --Town Creek",Christopher Greater Area Rural Health Planning Corporation,14410 Route 37,Johnston City,IL,62951,618-983-6911
Shawnee Health Social Services,"Family Health Care Clinic, Inc.",1841 Alabama Highway 20,Town Creek,AL,35672-0000,601-936-3833
Sikeston High School Clinic,"Family Health Care Clinic, Inc.",1841 Alabama Highway 20,Town Creek,AL,35672-0000,800-508-7481
Sikeston Medical Clinic,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,6355 Brandhorst Rd,Carterville,IL,62918-3322,618-519-9200
Hardeman County Community Health Center Women & Children's Center,SOUTHEAST MISSOURI HEALTH NETWORK,200 Pine St,Sikeston,MO,63801-3258,573-472-8887
HARDEMAN COUNTY COMMUNITY HEALTH CENTER,SOUTHEAST MISSOURI HEALTH NETWORK,200 Southland Dr,Sikeston,MO,63801-4403,573-472-1770
Hardeman County Community Health Center Mobile Clinic,HARDEMAN COUNTY COMMUNITY HEALTH CENTER,627 Nuckolls Rd,Bolivar,TN,38008-1599,731-600-1063
Sikeston Dental Center,HARDEMAN COUNTY COMMUNITY HEALTH CENTER,629 Nuckolls Rd,Bolivar,TN,38008-1599,731-658-3388
HAPPI Health-Sparkman,HARDEMAN COUNTY COMMUNITY HEALTH CENTER,629 Nuckolls Rd,Bolivar,TN,38008-1599,731-658-3388
Tulip Tree Family Health Care Princeton,SOUTHEAST MISSOURI HEALTH NETWORK,220 Southland Dr,Sikeston,MO,63801-4403,573-471-4167
School Health Clinic,HAPPI HEALTH,2597 Sparkman Dr NW,Huntsville,AL,35810-3868,256-585-6212
Thrive Alabama Health Education Location,"Tulip Tree Health Services of Gibson County, Inc.",108 N Main St,Princeton,IN,47670-1540,812-753-1039
Corinth Health Care Associates,HARDEMAN COUNTY COMMUNITY HEALTH CENTER,445 Nuckolls Rd,Bolivar,TN,38008-1539,731-658-3981
Sikeston Alternative Education Center Clinic,AIDS ACTION COALITION OF HUNTSVILLE,4825 University Square  STE 14,Huntsville,AL,35816-1826,256-536-4700
Mobile Unit #01,NORTH MS PRIMARY HEALTH CARE INC,1010 S Harper Rd,Corinth,MS,38834,662-396-4406
Jamestown Family Medical Center,NORTH MS PRIMARY HEALTH CARE INC,1415 S Harper Rd,Corinth,MS,38834-6613,662-396-4406
"Shawnee Health Care, Carterville",SOUTHEAST MISSOURI HEALTH NETWORK,835 W Murray Ln,Sikeston,MO,63801-4056,573-472-8887
Faith Dental of Russell Springs,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,109 W Commercial Dr,Carterville,IL,62918-1936,618-519-9200
Jamestown Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1417 N Main St,Jamestown,KY,42629-2411,270-343-2597
Russell County Middle Healthy Kids Clinic,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,1006 S Division St,Carterville,IL,62918-1539,618-519-9200
Russell County High Healthy Kids Clinic,FAITH HEALTHCARE INC,458 Main Street,Russell Springs,KY,42642,606-388-9019
Mobile Health Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",342 S MAIN ST,JAMESTOWN,KY,42629-2199,270-343-3966
Huntsville Family Health Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2258 S HIGHWAY 127,RUSSELL SPRINGS,KY,42642-4010,270-866-2224
Benton Medical Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",2166 S HIGHWAY 127,RUSSELL SPRINGS,KY,42642-4010,270-866-3341
Behavioral Health-DEN plus Admin Church Street,CENTRAL NORTH ALABAMA HEALTH SERVICES INC,751 Pleasant Row,Huntsville,AL,35816,256-533-6311
Thrive Behavioral Health - Church Street,CENTRAL NORTH ALABAMA HEALTH SERVICES INC,751 Pleasant Row NW,Huntsville,AL,35816-2537,256-533-6311
Wellness on Wheels 2.0,SOUTHEAST MISSOURI HEALTH NETWORK,6724 Hwy 77E,Benton,MO,63736,573-545-4200
Russell Family Medical Center,AIDS ACTION COALITION OF HUNTSVILLE,415 Church St NW Building E  STE 4,Huntsville,AL,35801-5577,256-536-4700
Thrive Mobile Medical Unit,AIDS ACTION COALITION OF HUNTSVILLE,415 Church St NW Building E  STE 10,Huntsville,AL,35801-5570,256-536-4700
HAPPI Health-St. Clair,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",404 Steve Dr,Russell Springs,KY,42642-4622,270-858-6655
HAPPI Health 807,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",404 Steve Dr,Russell Springs,KY,42642-4622,270-866-3161
Jasper Community Medical Services,AIDS ACTION COALITION OF HUNTSVILLE,167 Westchester Road  UNIT 1002,Madison,AL,35758,256-536-4700
HAPPI Health - 813,HAPPI HEALTH,115 Saint Clair Ave SE,Huntsville,AL,35801-4343,256-519-3650
Russell Springs Healthy Kids Clinic,HAPPI HEALTH,807 Franklin St SE,Huntsville,AL,35801-4311,256-333-3044
Otter Creek Academy Healthy Kids Clinic,LIFESPRING INC,480 Eversman Dr,Jasper,IN,47546-3548,812-482-3020
Marion County Middle Healthy Kids Clinic,HAPPI HEALTH,813 Franklin St SE,Huntsville,AL,35801-4311,256-519-3650
West Marion Healthy Kids Clinic,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1554 N HIGHWAY 127,RUSSELL SPRINGS,KY,42642-9502,270-866-3587
Thrive Pediatrics,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1440 Old Bethel Church Rd,Alpha,KY,42633-6204,606-387-0675
Caruthersville Medical and Dental Center,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",1155 Highway 327,Lebanon,KY,40033-9297,270-692-4578
Solvera Health Carbondale,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",8175 N Loretto Rd,Loretto,KY,40037-8069,270-699-4320
Thrive Alabama - Primary Care,AIDS ACTION COALITION OF HUNTSVILLE,3007 Memorial Parkway South Suite C  UNIT 2,Huntsville,AL,35801,256-429-4500
Thrive Alabama - Social Work,SOUTHEAST MISSOURI HEALTH NETWORK,109 E 5th St,Caruthersville,MO,63830-1417,573-922-6097
Carbondale Middle School Health Center,SOLVERA HEALTHCARE CENTER INC,"2250 Reed Station Pkwy, Ste 305",Carbondale,IL,62901-8104,618-457-4999
Terrier Care,AIDS ACTION COALITION OF HUNTSVILLE,3500 Memorial Parkway S.W.,Huntsville,AL,35801,256-536-4700
Calvary Healthy Kids Clinic,AIDS ACTION COALITION OF HUNTSVILLE,2010 South Point Park Cir.  STE 150,Huntsville,AL,35801,256-536-4700
Lewis School Health Center,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,1150 E Grand Ave Rm 127,Carbondale,IL,62901-3422,618-956-9690
Pike Central High School,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORPORATION,1301 E Walnut St Rm J120,Carbondale,IL,62901-5004,618-956-9690 x000
Pike Central Middle School,"CUMBERLAND FAMILY MEDICAL CENTER, INC.",3345 Highway 208,Lebanon,KY,40033-9487,270-692-3676
